Disease,Symptoms
neoplasm   metastasis,"sensory discomfort, vomiting, mass of body structure, swelling, pain, pericardial friction rub, atypia"
transient   ischemic attack,"clumsiness, underweight, stiffness, syncope, headache, neologism"
emphysema   pulmonary,"extreme exhaustion, hypokalemia, dyspnea, arthralgia, constipation"
arthritis,"behavior hyperactive, general unsteadiness, pain, distended abdomen, pressure chest, shortness of breath"
thrombus,"vomiting, stool color yellow, orthopnea, lesion, hemodynamically stable, facial paresis"
hyperlipidemia,"hirsutism, weepiness, hemiplegia, patient non compliance, catatonia, giddy mood"
melanoma,"constipation, mass in breast, systolic ejection murmur, urinoma, pain"
hiv infections,"decreased stool caliber, hypotonic, absences finding, productive cough, pain back"
hemorrhoids,"hypesthesia, guaiac positive, numbness of hand, dyspareunia, dizziness, achalasia"
failure   kidney,"fatigue, bedridden, pericardial friction rub, pain, no status change"
infection,"swelling, gasping for breath, sedentary, apyrexial, cough, pain"
diverticulitis,"fever, transsexual, urgency of micturition, speech slurred, tired, monoclonal, titubation, abortion, photophobia, thicken"
dementia,"abdominal tenderness, scleral icterus, hallucinations auditory, stinging sensation, prodrome"
hernia   hiatal,"headache, guaiac positive, photophobia, numbness of hand, hallucinations visual"
pneumothorax,"prostatism, posterior rhinorrhea, agitation, urge incontinence, passed stones"
confusion,"dizziness, unresponsiveness, energy increased, lightheadedness, sore to touch"
adenocarcinoma,"pain abdominal, vomiting, egophony, pain, Murphy's sign"
emphysema   pulmonary,"blackout, hallucinations auditory, choke, mydriasis, constipation, dyspnea"
ischemia,"homelessness, asymptomatic, air fluid level, regurgitates after swallowing, fremitus, sweating increased"
carcinoma breast,"shooting pain, gurgle, rhd positive, awakening early, burning sensation"
deglutition   disorder,"stiffness, photophobia, withdraw, inappropriate affect, side pain, lesion, hematochezia, macule"
cirrhosis,"guaiac positive, dysdiadochokinesia, bleeding of vagina, sore to touch, syncope, hemodynamically stable"
upper   respiratory infection,"thicken, weight gain, proteinemia, emphysematous change, prostatism, apyrexial"
hepatitis   B,"moan, projectile vomiting, abdominal tenderness, breath-holding spell, scleral icterus, thicken, hyperacusis"
peripheral   vascular disease,"dyspnea, cough, sleepy, bradycardia, barking cough, monoclonal, verbal auditory hallucinations, panic, sore to touch"
hepatitis,"vomiting, fever, macule, wheelchair bound, distress respiratory, chill, low back pain"
chronic   kidney failure,"breath sounds decreased, nausea, pleuritic pain, muscle twitch, fever"
arthritis,"abnormal sensation, pain, fear of falling, general unsteadiness, distended abdomen"
hemiparesis,"myalgia, tremor, sleepy, stinging sensation, burning sensation, Stahli's line"
carcinoma colon,"sleeplessness, hot flush, systolic ejection murmur, throat sore, nausea, dysesthesia, hyperemesis, welt"
accident   cerebrovascular,"consciousness clear, asthenia, seizure, unresponsiveness, myoclonus"
upper   respiratory infection,"frail, catatonia, cough, apyrexial, regurgitates after swallowing, emphysematous change"
affect   labile,"prostatism, bedridden, hallucinations visual, enuresis, motor retardation"
emphysema   pulmonary,"clammy skin, dyspnea, disturbed family, prodrome, hypotonic"
hypercholesterolemia,"primigravida, t wave inverted, st segment depression, photophobia, dyspnea, worry"
primary malignant neoplasm,"hoarseness, loose associations, suicidal, pain, thicken"
peripheral   vascular disease,"dyspnea, achalasia, hacking cough, sleepy, sore to touch, anorexia, cardiomegaly"
Alzheimer's   disease,"tremor, groggy, pain abdominal, muscle twitch, scleral icterus"
gastroenteritis,"decreased body weight, claudication, phonophobia, hemianopsia homonymous, overweight, cushingoid habitus, retch, abdominal tenderness"
thrombocytopaenia,"fatigue, hypotension, posterior rhinorrhea, chest discomfort, general discomfort, transsexual, groggy, debilitation, sleeplessness"
paranoia,"energy increased, swelling, agitation, nasal discharge present, history of - blackout, loose associations, mood depressed"
pneumonia   aspiration,"gurgle, hemiplegia, diarrhea, behavior hyperactive, hypoalbuminemia, bowel sounds decreased, pain abdominal"
decubitus   ulcer,"colic abdominal, fever, chest tightness, systolic murmur, monoclonal"
gout,"patient non compliance, ascites, monoclonal, vomiting, todd paralysis, pain"
carcinoma breast,"burning sensation, swelling, dyspnea, blanch, gurgle, chest tightness, proteinemia, pansystolic murmur, no status change"
Pneumocystis   carinii pneumonia,"transaminitis, drool, behavior showing increased motor activity, anosmia, headache, heme positive"
carcinoma,"para 2, pain foot, myalgia, slowing of urinary stream, lung nodule, heartburn, general discomfort"
peripheral   vascular disease,"anorexia, distended abdomen, dyspnea, sleepy, moody, asthenia, unwell"
exanthema,"pain, night sweat, chill, photophobia, stiffness, verbal auditory hallucinations, sputum purulent, painful swallowing"
embolism   pulmonary,"unresponsiveness, stiffness, consciousness clear, bradycardia, wheezing, distress respiratory"
hypertension   pulmonary,"hypotension, abortion, left atrial hypertrophy, orthopnea, cyanosis"
obesity   morbid,"flushing, feels hot/feverish, hot flush, hyperventilation, renal angle tenderness, hematocrit decreased, moan, hypoxemia, panic"
neutropenia,"debilitation, distress respiratory, heavy feeling, headache, dysdiadochokinesia, oliguria, hypocalcemia result, todd paralysis"
personality   disorder,"pruritus, side pain, dysuria, myalgia, red blotches, worry, asthenia"
diabetes,"vomiting, todd paralysis, vertigo, unresponsiveness, hypersomnolence, sleeplessness"
cholecystitis,"constipation, lethargy, feces in rectum, abnormally hard consistency, ecchymosis, out of breath"
confusion,"dizziness, dysarthria, paralyse, lightheadedness, hemodynamically stable, colic abdominal, decreased stool caliber, bradycardia"
hepatitis   B,"wheelchair bound, abdominal tenderness, breech presentation, poor feeding, projectile vomiting, frail, hacking cough"
chronic   obstructive airway disease,"wheezing, diarrhea, formication, hot flush, hallucinations visual, hypercapnia, swelling, weepiness, chest tightness"
chronic   kidney failure,"unresponsiveness, clumsiness, pleuritic pain, terrify, fever, slowing of urinary stream, nausea, noisy respiration"
Pneumocystis   carinii pneumonia,"estrogen use, non-productive cough, alcohol binge episode, poor dentition, transaminitis, flatulence, dizzy spells, pulsus paradoxus, suicidal"
affect   labile,"decreased stool caliber, bedridden, hallucinations visual, enuresis, natural, incoherent"
adhesion,"feeling suicidal, sedentary, immobile, hypersomnia, unsteady gait"
fibroid   tumor,"abnormally hard consistency, proteinemia, projectile vomiting, primigravida, paraparesis"
emphysema   pulmonary,"constipation, urinary hesitation, pain foot, redness, heartburn"
bipolar   disorder,"drowsiness, hypersomnia, exhaustion, loose associations, mydriasis"
parkinson   disease,"hematuria, mass of body structure, no known drug allergies, r wave feature, weepiness, night sweat"
aphasia,"nightmare, aphagia, estrogen use, history of - blackout, paralyse"
hemorrhoids,"urgency of micturition, achalasia, awakening early, dizziness, guaiac positive"
obesity,"mood depressed, overweight, ecchymosis, superimposition, urgency of micturition, systolic murmur"
degenerative   polyarthritis,"pansystolic murmur, non-productive cough, unsteady gait, abdomen acute, stiffness"
encephalopathy,"debilitation, pain foot, thicken, hypothermia, hypokinesia, heartburn"
hepatitis   B,"projectile vomiting, abdominal tenderness, wheelchair bound, out of breath, moan, labored breathing"
chronic   kidney failure,"urge incontinence, pleuritic pain, fever, systolic murmur, unresponsiveness, nausea"
Alzheimer's   disease,"out of breath, left atrial hypertrophy, tremor, low back pain, groggy, thicken"
hypothyroidism,"poor feeding, numbness, rapid shallow breathing, mental status changes, hypercapnia, splenomegaly"
fibroid   tumor,"primigravida, prostatism, hemiplegia, heartburn, abnormally hard consistency, out of breath"
kidney   failure acute,"diarrhea, haemorrhage, hypersomnolence, natural, overweight"
diverticulitis,"decreased body weight, monocytosis, monoclonal, urgency of micturition, fever"
benign   prostatic hypertrophy,"dyspnea on exertion, mental status changes, hemiplegia, distress respiratory, heme positive, floppy, dysarthria"
lymphoma,"superimposition, tired, vertigo, difficulty passing urine, inappropriate affect"
glaucoma,"lesion, tired, poor feeding, hyponatremia, haemorrhage"
melanoma,"mass in breast, bedridden, passed stones, red blotches, productive cough, diarrhea, vomiting, intoxication"
exanthema,"nonsmoker, disequilibrium, chill, stool color yellow, painful swallowing, gravida 0, photophobia"
failure   kidney,"poor feeding, prostatism, bedridden, thicken, hyponatremia, arthralgia, bruit"
oral   candidiasis,"hypesthesia, hematocrit decreased, non-productive cough, adverse effect, abdominal bloating, flare, dysdiadochokinesia, transaminitis, achalasia"
pneumothorax,"prostatism, cardiovascular event, agitation, soft tissue swelling, neck stiffness, hirsutism"
edema   pulmonary,"pain chest, aphagia, wheezing, barking cough, malaise, chest discomfort, sensory discomfort, sinus rhythm, Stahli's line"
accident   cerebrovascular,"alcohol binge episode, spontaneous rupture of membranes, asthenia, patient non compliance, mass in breast"
paroxysmal   dyspnea,"dyspnea, sweating increased, gravida 10, dyspareunia, cough"
cirrhosis,"hemodynamically stable, bleeding of vagina, sore to touch, guaiac positive, apyrexial"
epilepsy,"sleepy, dysuria, behavior showing increased motor activity, wheelchair bound, myoclonus"
cholecystitis,"constipation, emphysematous change, muscle twitch, groggy, mass of body structure, hypometabolism, heavy feeling"
anemia,"hemiplegia, enuresis, transaminitis, muscle twitch, shortness of breath"
carcinoma breast,"dysdiadochokinesia, burning sensation, prodrome, formication, no known drug allergies, dyspnea"
infection,"lightheadedness, apyrexial, cough, tenesmus, cardiovascular event, pain, swelling, blanch"
pyelonephritis,"floppy, atypia, posturing, pain abdominal, chill"
delirium,"suicidal, fever, Heberden's node, orthopnea, hallucinations auditory, clonus"
hepatitis   B,"abdominal tenderness, orthopnea, tonic seizures, hoard, groggy, projectile vomiting, pain foot, moan, unconscious state, wheelchair bound"
emphysema   pulmonary,"arthralgia, hypothermia, absences finding, monocytosis, macerated skin, choke, night sweat, constipation, dyspnea"
bipolar   disorder,"Heberden's node, hypokalemia, asymptomatic, mydriasis, hemiplegia, mass in breast, intoxication, tumor cell invasion"
migraine   disorders,"productive cough, angina pectoris, splenomegaly, cystic lesion, dizziness, retropulsion, fever"
incontinence,"syncope, unresponsiveness, fall, stiffness, hypesthesia, choke, tumor cell invasion"
hyperlipidemia,"decreased translucency, hypokinesia, giddy mood, room spinning, incoherent"
hepatitis   B,"hemodynamically stable, flushing, intoxication, hunger, moan, wheelchair bound, heavy feeling, abdominal tenderness, projectile vomiting, dizziness"
bipolar   disorder,"posturing, decreased translucency, exhaustion, prostate tender, sciatica, intoxication"
coronary heart disease,"todd paralysis, chest tightness, underweight, dyspnea on exertion, orthopnea"
paranoia,"loose associations, jugular venous distention, mood depressed, rolling of eyes, blackout, monocytosis, gag"
pericardial effusion body substance,"blackout, vertigo, pain, nightmare, unwell, oliguria, intoxication, pain neck"
hyperbilirubinemia,"pericardial friction rub, urinoma, cough, cushingoid habitus, dyspnea on exertion, chill, cyanosis, polydypsia"
thrombocytopaenia,"hypotension, pruritus, nervousness, posterior rhinorrhea, decreased stool caliber, fatigue"
carcinoma of lung,"terrify, mass in breast, asthenia, agitation, decreased translucency"
schizophrenia,"sniffle, monoclonal, homelessness, worry, abdomen acute, hallucinations visual, underweight, emphysematous change, hypercapnia"
colitis,"stupor, tenesmus, urge incontinence, left atrial hypertrophy, pain abdominal, patient non compliance"
sepsis (invertebrate),"intoxication, rale, suicidal, haemorrhage, apyrexial, dizziness"
decubitus   ulcer,"speech slurred, systolic murmur, abnormally hard consistency, fever, fear of falling, frail, sputum purulent"
neutropenia,"monoclonal, distress respiratory, photopsia, erythema, pain back, hypocalcemia result, oliguria"
gastroesophageal   reflux disease,"pain abdominal, pericardial friction rub, dyspnea on exertion, palpitation, asthenia, bowel sounds decreased"
